pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2,pl_pubdate,releasedate
Kepler-440 b,101.1114976,0.0008891,-0.0008891,0,0.334,,,0,1.47,0.19,-0.18,0,0.131,0.017,-0.016,0,,,,,,,,,0,,,0,0.39,0.13,-0.12,0,201,,,0,,3813,58,-87,0,0.48,0.06,-0.06,0,0.48,0.05,-0.07,0,-0.3,0.1,-0.2,0,4.77,0.06,-0.08,0,301.03,2.278,-2.278,24-09-2015,25-08-2015
Kepler-440 b,101.1114976,0.0008891,-0.0008891,0,0.334,,,0,1.47,0.19,-0.18,0,0.131,0.017,-0.016,0,,,,,,,,,0,,,0,0.39,0.13,-0.12,0,201,,,0,,3813,58,-87,0,0.48,0.06,-0.06,0,0.48,0.05,-0.07,0,-0.3,0.1,-0.2,0,4.77,0.06,-0.08,0,301.03,2.278,-2.278,04-12-2014,18-11-2014
Kepler-440 b,101.1114976,0.0008891,-0.0008891,0,0.334,,,0,1.47,0.19,-0.18,0,0.131,0.017,-0.016,0,,,,,,,,,0,,,0,0.39,0.13,-0.12,0,201,,,0,,3813,58,-87,0,0.48,0.06,-0.06,0,0.48,0.05,-0.07,0,-0.3,0.1,-0.2,0,4.77,0.06,-0.08,0,301.03,2.278,-2.278,18-12-2014,21-11-2014
Kepler-296 f,63.3354719,0.000927,-0.000927,0,0.2279,,,0,1.18,0.15,-0.18,0,0.105,0.013,-0.016,0,,,,,,,,,0,,,0,0.39,0.15,-0.13,0,202,,,0,,3526,71,-78,0,0.38,0.05,-0.06,0,0.39,0.06,-0.07,0,-0.08,0.15,-0.15,0,4.87,0.07,-0.04,0,,,,31-08-2017 00:00,08-05-2017
Kepler-309 c,105.3551025,0.0039,-0.0039,0,0.34966,0.01549,-0.01549,0,1.71,3.81,-3.81,0,0.153,0.34,-0.34,0,,,,,,,,,,,,,,,,,202,,,0,M0 V,3880,143,-103,0,0.49,0.07,-0.07,0,0.51,0.07,-0.07,0,-0.28,0.12,-0.12,0,,,,,544.568,5.874,-5.874,2012-05,25-02-2016
Kepler-309 c,105.3582299,0.000525,-0.000525,0,0.351,,,0,1.87,0.13,-0.17,0,0.167,0.012,-0.015,0,,,,,,,,,0,,,0,0.41,0.09,-0.1,0,204,,,0,,3883,69,-93,0,0.5,0.04,-0.04,0,0.52,0.03,-0.04,0,-0.28,0.15,-0.15,0,4.76,0.04,-0.04,0,544.568,5.874,-5.874,31-08-2017 00:00,08-05-2017
Kepler-62 f,267.283301,0.004543,-0.004543,0,0.699,,,0,1.42,0.06,-0.08,0,0.127,0.005,-0.007,0,,,,,,,,,0,,,0,0.41,0.08,-0.07,0,205,,,0,,4797,93,,0,0.65,0.03,-0.04,0,0.64,0.04,-0.02,0,-0.46,0.14,-0.14,0,4.61,0.04,-0.02,0,300.874,1.219,-1.219,24-09-2015,25-08-2015
Kepler-62 f,267.283301,0.004543,-0.004543,0,0.699,,,0,1.42,0.06,-0.08,0,0.127,0.005,-0.007,0,,,,,,,,,0,,,0,0.41,0.08,-0.07,0,205,,,0,,4797,93,,0,0.65,0.03,-0.04,0,0.64,0.04,-0.02,0,-0.46,0.14,-0.14,0,4.61,0.04,-0.02,0,300.874,1.219,-1.219,18-12-2014,21-11-2014
Kepler-62 f,267.283301,0.004543,-0.004543,0,0.699,,,0,1.42,0.06,-0.08,0,0.127,0.005,-0.007,0,,,,,,,,,0,,,0,0.41,0.08,-0.07,0,205,,,0,,4797,93,,0,0.65,0.03,-0.04,0,0.64,0.04,-0.02,0,-0.46,0.14,-0.14,0,4.61,0.04,-0.02,0,300.874,1.219,-1.219,04-12-2014,18-11-2014
Kepler-62 f,267.282521,0.00481,-0.00481,0,0.7279,,,0,1.43,0.08,-0.06,0,0.128,0.007,-0.005,0,,,,,,,,,0,,,0,0.44,0.09,-0.07,0,207,,,0,,4926,98,-98,0,0.66,0.04,-0.03,0,0.73,0.03,-0.06,0,-0.36,0.15,-0.15,0,4.65,0.02,-0.05,0,300.874,1.219,-1.219,31-08-2017 00:00,08-05-2017
Kepler-62 f,267.291,0.005,-0.005,0,0.718,0.007,-0.007,0,1.41,0.07,-0.07,0,0.126,0.006,-0.006,0,35,,,1,0.11,,,1,,,,,,,,,208,11,-11,0,K2 V,4925,70,-70,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0,-0.37,0.04,-0.04,0,4.68,0.04,-0.04,0,300.874,1.219,-1.219,2013-05,14-05-2014
Kepler-1649 b,8.68907042,0.00003255,-0.00003255,0,0.0378,,,0,0.57,0,0,0,0.051,0,0,0,,,,,,,,,0,,,0,0.47,0,0,0,211,,,0,,2703,0,0,0,0.12,0,0,0,0.1,0,0,0,0,,,0,5.27,0,0,0,92.1913,0.5489,-0.5425,18-12-2014,21-11-2014
Kepler-1649 b,8.68907042,0.00003255,-0.00003255,0,0.0378,,,0,0.57,0,0,0,0.051,0,0,0,,,,,,,,,0,,,0,0.47,0,0,0,211,,,0,,2703,0,0,0,0.12,0,0,0,0.1,0,0,0,0,,,0,5.27,0,0,0,92.1913,0.5489,-0.5425,04-12-2014,18-11-2014
Kepler-1649 b,8.68907042,0.00003255,-0.00003255,0,0.0378,,,0,0.57,0,0,0,0.051,0,0,0,,,,,,,,,0,,,0,0.47,0,0,0,211,,,0,,2703,0,0,0,0.12,0,0,0,0.1,0,0,0,0,,,0,5.27,0,0,0,92.1913,0.5489,-0.5425,24-09-2015,25-08-2015
Kepler-1229 b,86.82974,0.0008,-0.0008,0,0.3006,0.0069,-0.0091,0,1.34,0.09,-0.14,0,0.12,0.008,-0.012,0,,,,,,,,,,,,,0.3,0.07,-0.04,0,212,19,-17,0,,3577,58,-58,0,0.45,0.03,-0.04,0,0.48,0.03,-0.05,0,0.16,0.08,-0.08,0,4.81,0.04,-0.03,0,265.482,3.397,-3.315,2017-12,17-11-2017
TRAPPIST-1 f,9.20669,0.000015,-0.000015,0,0.0371,0.0011,-0.0011,0,1.045,0.038,-0.038,0,0.093,0.003,-0.003,0,0.68,0.18,-0.18,0,0.00214,0.00057,-0.00057,0,0.063,,,1,0.38,0.03,-0.03,0,219,4,-4,0,,2559,50,-50,0,0.12,0,0,0,0.08,0.01,-0.01,0,0.04,0.08,-0.08,0,,,,,,,,2017-02,22-02-2017
Kepler-452 b,384.843022,0.009989,-0.009989,0,0.9892,,,0,1.13,0.35,-0.09,0,0.101,0.031,-0.008,0,,,,,,,,,0,,,0,0.56,0.51,-0.13,0,220,,,0,,5578,153,-137,0,0.79,0.25,-0.06,0,0.87,0.09,-0.09,0,-0.24,0.32,-0.28,0,4.58,0.03,-0.03,0,551.727,5.236,-5.141,24-09-2015,25-08-2015
Kepler-452 b,384.847556,0.007105,-0.007105,0,0.994,,,0,1.09,0.2,-0.1,0,0.097,0.018,-0.009,0,,,,,,,,,0,,,0,0.56,0.32,-0.15,0,220,,,0,,5579,150,-150,0,0.8,0.15,-0.07,0,0.89,0.08,-0.11,0,-0.22,0.3,-0.3,0,4.58,0.03,-0.13,0,551.727,5.236,-5.141,31-08-2017 00:00,08-05-2017
K2-288 B b,31.393463,0.000067,-0.000069,0,0.164,0.03,-0.03,0,1.9,0.3,-0.3,0,0.17,0.027,-0.027,0,,,,,,,,,,,,,,,,,226,22,-22,0,M3 V,3341,276,-276,0,0.32,0.03,-0.03,0,0.33,0.02,-0.02,0,-0.21,0.09,-0.09,0,4.96,0.02,-0.02,0,65.6138,0.8821,-0.8594,2019-01,10-01-2019
LHS 1140 b,24.73723,0.00002,-0.00002,0,0.0946,0.0017,-0.0017,0,1.73,0.025,-0.025,0,0.154,0.002,-0.002,0,5.6,0.19,-0.19,0,0.01762,0.0006,-0.0006,0,0.043,,,1,0.43,0.03,-0.03,0,226,4,-4,0,M4.5 V,3096,48,-48,0,0.22,0,0,0,0.18,0,0,0,-0.15,0.09,-0.09,0,5.04,0.02,-0.02,0,14.9861,0.0153,-0.0152,2024-01,04-03-2024
Kepler-1229 b,86.8299,0.0023,-0.0023,0,0.313,,,0,1.66,0.67,-0.67,0,0.148,0.06,-0.06,0,,,,,,,,,0,,,0,,,,0,228,,,0,,4013,200,-200,0,0.52,0.03,-0.03,0,0.54,0.04,-0.04,0,,,,0,4.74,0.3,-0.3,0,265.482,3.397,-3.315,08-01-2014,28-10-2013
Kepler-1652 b,38.0972378,0.000286,-0.000286,0,0.1576,,,0,1.12,0.16,-0.35,0,0.1,0.014,-0.031,0,,,,,,,,,0,,,0,0.65,0.25,-0.38,0,229,,,0,,3482,57,-120,0,0.35,0.05,-0.11,0,0.36,0.06,-0.12,0,-0.1,0.1,-0.1,0,4.91,0.12,-0.08,0,,,,04-12-2014,18-11-2014
Kepler-1652 b,38.0972378,0.000286,-0.000286,0,0.1576,,,0,1.12,0.16,-0.35,0,0.1,0.014,-0.031,0,,,,,,,,,0,,,0,0.65,0.25,-0.38,0,229,,,0,,3482,57,-120,0,0.35,0.05,-0.11,0,0.36,0.06,-0.12,0,-0.1,0.1,-0.1,0,4.91,0.12,-0.08,0,,,,18-12-2014,21-11-2014
Kepler-1652 b,38.0972378,0.000286,-0.000286,0,0.1576,,,0,1.12,0.16,-0.35,0,0.1,0.014,-0.031,0,,,,,,,,,0,,,0,0.65,0.25,-0.38,0,229,,,0,,3482,57,-120,0,0.35,0.05,-0.11,0,0.36,0.06,-0.12,0,-0.1,0.1,-0.1,0,4.91,0.12,-0.08,0,,,,24-09-2015,25-08-2015
Kepler-440 b,101.1107014,0.0009529,-0.0009529,0,0.3548,,,0,1.61,0.1,-0.08,0,0.144,0.009,-0.007,0,,,,,,,,,0,,,0,0.65,0.14,-0.11,0,229,,,0,,4133,74,-82,0,0.56,0.03,-0.03,0,0.58,0.03,-0.03,0,-0.3,0.15,-0.15,0,4.71,0.02,-0.03,0,301.03,2.278,-2.278,31-08-2017 00:00,08-05-2017
Kepler-705 b,56.0560538,0.0002486,-0.0002486,0,0.2261,,,0,1.96,0.25,-0.25,0,0.175,0.022,-0.022,0,,,,,,,,,0,,,0,0.64,0.23,-0.18,0,229,,,0,,3593,58,-66,0,0.47,0.06,-0.06,0,0.49,0.06,-0.06,0,0.16,0.11,-0.11,0,4.78,0.08,-0.08,0,276.881,3.858,-3.755,04-12-2014,18-11-2014
Kepler-705 b,56.0560538,0.0002486,-0.0002486,0,0.2261,,,0,1.96,0.25,-0.25,0,0.175,0.022,-0.022,0,,,,,,,,,0,,,0,0.64,0.23,-0.18,0,229,,,0,,3593,58,-66,0,0.47,0.06,-0.06,0,0.49,0.06,-0.06,0,0.16,0.11,-0.11,0,4.78,0.08,-0.08,0,276.881,3.858,-3.755,18-12-2014,21-11-2014
Kepler-705 b,56.0560538,0.0002486,-0.0002486,0,0.2261,,,0,1.96,0.25,-0.25,0,0.175,0.022,-0.022,0,,,,,,,,,0,,,0,0.64,0.23,-0.18,0,229,,,0,,3593,58,-66,0,0.47,0.06,-0.06,0,0.49,0.06,-0.06,0,0.16,0.11,-0.11,0,4.78,0.08,-0.08,0,276.881,3.858,-3.755,24-09-2015,25-08-2015
Kepler-1341 b,132.9955,0.0036,-0.0036,0,0.445,,,0,1.93,0.91,-0.91,0,0.172,0.081,-0.081,0,,,,,,,,,0,,,0,,,,0,230,,,0,,4535,60,-60,0,0.59,0.01,-0.01,0,0.66,0.01,-0.01,0,,,,0,4.72,0.3,-0.3,0,476.957,5.002,-4.901,08-01-2014,28-10-2013
LHS 1140 b,24.73712,0.00025,-0.00025,0,0.0875,0.0041,-0.0041,0,1.43,0.1,-0.1,0,0.128,0.009,-0.009,0,6.65,1.82,-1.82,0,0.02092,0.00573,-0.00573,0,0.29,,,1,0.46,,,0,230,20,-20,0,M4.5 V,3131,100,-100,0,0.19,0.01,-0.01,0,0.15,0.02,-0.02,0,-0.24,0.14,-0.14,0,,,,,14.9861,0.0153,-0.0152,2017-04,27-04-2017
Kepler-1632 b,448.303558,0.004164,-0.004164,0,1.0846,,,0,1.66,0.73,-0.13,0,0.148,0.065,-0.012,0,,,,,,,,,0,,,0,0.68,0.89,-0.16,0,232,,,0,,6070,161,-155,0,0.81,0.36,-0.06,0,0.84,0.09,-0.07,0,-0.76,0.3,-0.28,0,4.55,0.04,-0.31,0,716.76,6.705,-6.585,18-12-2014,21-11-2014
Kepler-1632 b,448.303558,0.004164,-0.004164,0,1.0846,,,0,1.66,0.73,-0.13,0,0.148,0.065,-0.012,0,,,,,,,,,0,,,0,0.68,0.89,-0.16,0,232,,,0,,6070,161,-155,0,0.81,0.36,-0.06,0,0.84,0.09,-0.07,0,-0.76,0.3,-0.28,0,4.55,0.04,-0.31,0,716.76,6.705,-6.585,24-09-2015,25-08-2015
Kepler-705 b,56.0560754,0.0002753,-0.0002753,0,0.228,,,0,1.94,0.12,-0.22,0,0.173,0.011,-0.02,0,,,,,,,,,0,,,0,0.69,0.15,-0.19,0,233,,,0,,3593,71,-86,0,0.49,0.03,-0.06,0,0.5,0.04,-0.05,0,0.26,0.15,-0.15,0,4.76,0.05,-0.03,0,276.881,3.858,-3.755,31-08-2017 00:00,08-05-2017
Kepler-1649 c,19.53527,0.0001,-0.0001,0,,,,,1.06,0.15,-0.1,0,0.095,0.013,-0.009,0,,,,,,,,,,,,,0.75,0.03,-0.3,0,234,20,-20,0,,3240,61,-61,0,0.23,0,0,0,0.2,0.01,-0.01,0,-0.15,0.11,-0.11,0,5,0.02,-0.02,0,92.1913,0.5489,-0.5425,2020-04,23-04-2020
