pl_name,hostname,sy_snum,pl_controv_flag,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff
GJ 367 b,GJ 367,1,0,0.321962,0.718,0.546,1745,M1.0 V,3522
HD 23472 d,HD 23472,1,0,3.97664,0.75,0.55,909,K4 V,4684
Kepler-85 e,Kepler-85,1,0,25.215,1.2,0.6,,,
TRAPPIST-1 e,TRAPPIST-1,1,0,6.099615,0.918,0.62,251,,2559
GJ 367 b,GJ 367,1,0,0.3219225,0.699,0.633,1365,M1.0 V,3522
Kepler-138 d,Kepler-138,1,0,23.0881,1.212,0.64,,,3841
KOI-55 c,KOI-55,1,1,0.342887,0.867,0.655,,B,27730
TRAPPIST-1 f,TRAPPIST-1,1,0,9.20669,1.045,0.68,219,,2559
TRAPPIST-1 e,TRAPPIST-1,1,0,6.101013,0.92,0.692,,,2566
HD 23472 e,HD 23472,1,0,7.90754,0.818,0.72,723,K4 V,4684
HD 23472 f,HD 23472,1,0,12.1621839,1.137,0.77,630,K4 V,4684
Kepler-128 b,Kepler-128,1,0,15.09,1.43,0.77,,,
TRAPPIST-1 e,TRAPPIST-1,1,0,,0.91,0.772,,,
Kepler-37 b,Kepler-37,1,0,13.36702,0.31,0.79,718,,5357
GJ 9827 c,GJ 9827,1,0,3.6480957,1.241,0.84,,,4340
TRAPPIST-1 b,TRAPPIST-1,1,0,1.51087081,1.086,0.85,400,,2559
Kepler-128 c,Kepler-128,1,0,22.804,1.34,0.9,,,
LP 791-18 d,LP 791-18,1,0,2.753436,1.032,0.9,396,M(6.1 +/- 0.7) V,2960
TRAPPIST-1 f,TRAPPIST-1,1,0,,1.046,0.934,,,
Kepler-138 d,Kepler-138,1,0,23.08933,1.61,1.01,,M1 V,3871
L 98-59 b,L 98-59,1,0,2.2531,0.8,1.01,610,M3 V,3412
TRAPPIST-1 b,TRAPPIST-1,1,0,,1.121,1.017,,,
TRAPPIST-1 f,TRAPPIST-1,1,0,9.20754,1.045,1.039,,,2566
Kepler-36 b,Kepler-36,1,0,13.84984283,1.486,1.08549,,,
Kepler-102 b,Kepler-102,1,0,5.286965,0.46,1.1,857,,4909
TRAPPIST-1 g,TRAPPIST-1,1,0,,1.148,1.148,,,
TRAPPIST-1 c,TRAPPIST-1,1,0,,1.095,1.156,,,
Kepler-138 d,Kepler-138,1,0,23.09302,1.68,1.17,,,
GJ 3929 b,GJ 3929,1,0,2.6162745,1.15,1.21,569,M3.5 V,3369
Kepler-126 c,Kepler-126,1,0,21.86967617,1.608,1.27942,,,
GJ 9827 c,GJ 9827,1,0,3.648096,1.241,1.3,813,,4305
Kepler-37 c,Kepler-37,1,0,21.301848,0.755,1.3,615,,5357
TRAPPIST-1 c,TRAPPIST-1,1,0,2.421937,1.097,1.308,,,2566
GJ 1252 b,GJ 1252,1,0,0.5182331,1.193,1.32,,M3,3458
GJ 1252 b,GJ 1252,1,0,0.5182416,1.18,1.32,,,3458
TRAPPIST-1 g,TRAPPIST-1,1,0,12.352446,1.129,1.321,,,2566
TRAPPIST-1 g,TRAPPIST-1,1,0,12.35294,1.127,1.34,199,,2559
TRAPPIST-1 b,TRAPPIST-1,1,0,1.510826,1.116,1.374,,,2566
TRAPPIST-1 c,TRAPPIST-1,1,0,2.4218233,1.056,1.38,342,,2559
Kepler-409 b,Kepler-409,1,0,68.958608,0.981,1.38462,,,
TOI-1776 b,TOI-1776,1,0,2.799868,1.216,1.4,1269,,5785
TOI-500 b,TOI-500,1,0,0.548177,1.166,1.42,1617,K6 V,4440
TOI-6255 b,TOI-6255,1,0,0.23818244,1.079,1.44,,,3421
GJ 9827 c,GJ 9827,1,0,3.64823,1.24,1.45,771,K6 V,4219
TOI-178 b,TOI-178,1,0,1.914558,1.152,1.5,1040,K,4316
LHS 1815 b,LHS 1815,1,0,3.814334,1.088,1.58,,M1,3643
TOI-270 b,TOI-270,1,0,3.3601538,1.206,1.58,581,M,3506
TOI-561 b,TOI-561,1,0,0.446578,1.423,1.59,,G9 V,5455
K2-3 d,K2-3,1,0,44.556456,1.62,1.6,312,,3835
Kepler-138 c,Kepler-138,1,0,13.781,1.75,1.6,,,
GJ 1132 b,GJ 1132,1,0,1.62893,1.16,1.62,409,M4.5 V,3270
GJ 1132 b,GJ 1132,1,0,1.6289287,1.43,1.63,644,,
Kepler-28 b,Kepler-28,1,0,5.91,1.959,1.63,,,4499.3
GJ 1132 b,GJ 1132,1,0,1.628931,1.13,1.66,529,,3270
Kepler-407 b,Kepler-407,1,0,0.66930969,1.161,1.66905,,,
Kepler-102 c,Kepler-102,1,0,7.071392,0.567,1.7,777,,4909
GJ 3929 b,GJ 3929,1,0,2.616235,1.09,1.75,568,,3384
LHS 1140 c,LHS 1140,1,0,3.77792,1.169,1.76,709,,2988
